Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
how <advmod many	how	many																																11	51.9	AB	"pattern {B [form=""many""]; A [form=""how""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22many%22%5D%3B%20A%20%5Bform%3D%22how%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	many	5.85	12.77	0.05	9.81	3.26	17.15
most <advmod important	most	important																																9	42.5	AB	"pattern {B [form=""important""]; A [form=""most""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22important%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	important	7.04	13.38	0.07	10.15	2.98	20.27
so <advmod many	so	many																																7	33.0	AB	"pattern {B [form=""many""]; A [form=""so""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22many%22%5D%3B%20A%20%5Bform%3D%22so%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	many	4.04	9.65	0.02	8.43	2.48	3.86
African <amod American	African	American																																6	28.3	AB	"pattern {B [form=""American""]; A [form=""African""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22American%22%5D%3B%20A%20%5Bform%3D%22African%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	American	9.21	14.38	0.11	10.79	2.45	21.28
really <advmod good	really	good																																5	23.6	AB	"pattern {B [form=""good""]; A [form=""really""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22good%22%5D%3B%20A%20%5Bform%3D%22really%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	good	4.90	9.55	0.03	8.76	2.16	5.09
too <advmod many	too	many																																5	23.6	AB	"pattern {B [form=""many""]; A [form=""too""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22many%22%5D%3B%20A%20%5Bform%3D%22too%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	many	5.85	10.49	0.03	9.15	2.20	7.77
follow >obl on	follow	on																																4	18.9	AB	"pattern {A [form=""follow""]; B [form=""on""]; A -[obl]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22follow%22%5D%3B%20B%20%5Bform%3D%22on%22%5D%3B%20A%20-%5Bobl%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	follow	4.78	8.78	0.01	6.76	1.93	3.80
most <advmod beautiful	most	beautiful																																4	18.9	AB	"pattern {B [form=""beautiful""]; A [form=""most""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22beautiful%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	beautiful	6.44	10.44	0.03	9.14	1.98	7.61
other <compound initiated	other	initiated																																4	18.9	AB	"pattern {B [form=""initiated""]; A [form=""other""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22initiated%22%5D%3B%20A%20%5Bform%3D%22other%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	initiated	8.42	12.42	0.03	8.85	1.99	12.30
so <advmod much	so	much																																4	18.9	AB	"pattern {B [form=""much""]; A [form=""so""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22much%22%5D%3B%20A%20%5Bform%3D%22so%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	much	3.57	7.57	0.01	7.72	1.83	1.26
