Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Node H1-form	Node I1-form	Node J1-form	Node K1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
t. >fixed i.	t.	i.																																				17	63.6	AB	"pattern {A [form=""t.""]; B [form=""i.""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22t.%22%5D%3B%20B%20%5Bform%3D%22i.%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	t.	13.78	21.95	0.94	13.92	4.12	107.03
najbolj <advmod priljubljenih	najbolj	priljubljenih																																				4	15.0	AB	"pattern {B [form=""priljubljenih""]; A [form=""najbolj""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22priljubljenih%22%5D%3B%20A%20%5Bform%3D%22najbolj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	priljubljenih	10.98	14.98	0.06	9.91	2.00	18.45
naravne >conj (in <cc kulturne)	naravne	in	kulturne																																			3	11.2	ABC	"pattern {A [form=""naravne""]; C [form=""kulturne""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22naravne%22%5D%3B%20C%20%5Bform%3D%22kulturne%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	naravne	17.24	20.41	0.00	4.63	1.73	25.13
19 <nummod palčni	19	palčni																																				2	7.5	AB	"pattern {B [form=""palčni""]; A [form=""19""]; B -[nummod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pal%C4%8Dni%22%5D%3B%20A%20%5Bform%3D%2219%22%5D%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	palčni	13.38	15.38	0.15	11.25	1.41	12.12
24 <nummod letnega	24	letnega																																				2	7.5	AB	"pattern {B [form=""letnega""]; A [form=""24""]; B -[nummod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22letnega%22%5D%3B%20A%20%5Bform%3D%2224%22%5D%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	letnega	10.68	12.68	0.11	10.75	1.41	8.87
50 <nummod odstotno	50	odstotno																																				2	7.5	AB	"pattern {B [form=""odstotno""]; A [form=""50""]; B -[nummod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22odstotno%22%5D%3B%20A%20%5Bform%3D%2250%22%5D%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	odstotno	11.08	13.08	0.09	10.45	1.41	9.35
Hrbtna >conj (in <cc repna)	Hrbtna	in	repna																																			2	7.5	ABC	"pattern {A [form=""Hrbtna""]; C [form=""repna""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Hrbtna%22%5D%3B%20C%20%5Bform%3D%22repna%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Hrbtna	18.91	20.91	0.00	4.05	1.41	18.77
bakterijskega >conj (in <cc virusnega)	bakterijskega	in	virusnega																																			2	7.5	ABC	"pattern {A [form=""bakterijskega""]; C [form=""virusnega""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22bakterijskega%22%5D%3B%20C%20%5Bform%3D%22virusnega%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	bakterijskega	21.94	23.94	0.00	4.05	1.41	22.42
moralna >conj (in <cc politična)	moralna	in	politična																																			2	7.5	ABC	"pattern {A [form=""moralna""]; C [form=""politična""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22moralna%22%5D%3B%20C%20%5Bform%3D%22politi%C4%8Dna%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	moralna	18.03	20.03	0.00	4.05	1.41	17.71
na <case novo	na	novo																																				2	7.5	AB	"pattern {B [form=""novo""]; A [form=""na""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22novo%22%5D%3B%20A%20%5Bform%3D%22na%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	novo	1.32	3.32	0.00	4.33	0.85	-0.81
